,City,Province,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking
12202,Burnaby,BC,2499000.0,6.0,4.0,0.27,Single Family,2990.0,Yes,Yes
3888,Burnaby,BC,2428800.0,6.0,3.0,0.17,Single Family,2845.0,Yes,Yes
12174,Burnaby,BC,2490000.0,8.0,4.0,0.14,Single Family,2526.0,Yes,No
12167,Burnaby,BC,2190000.0,4.0,1.0,0.14,Single Family,1938.0,Yes,No
3936,Burnaby,BC,2298000.0,3.0,2.0,0.15,Single Family,1830.0,No,No
12335,Burnaby,BC,2480000.0,5.0,3.0,0.16,Single Family,2400.0,Yes,Yes
12232,Burnaby,BC,3498000.0,10.0,7.0,0.18,Single Family,4461.0,Yes,No
12246,Burnaby,BC,3320000.0,5.0,3.0,0.23,Single Family,2739.0,Yes,No
3301,Burnaby,BC,2688000.0,4.0,5.0,0.09,Single Family,2415.0,Yes,Yes
12272,Burnaby,BC,3189000.0,8.0,5.0,0.19,Single Family,3767.0,Yes,Yes
11814,Burnaby,BC,2198000.0,5.0,3.0,0.22,Single Family,3081.0,Yes,No
11954,Burnaby,BC,3699000.0,9.0,9.0,0.31,Single Family,7051.0,Yes,No
11847,Burnaby,BC,3288000.0,6.0,6.0,0.14,Single Family,3931.0,Yes,No
11859,Burnaby,BC,2700000.0,6.0,4.0,0.24,Single Family,3006.0,Yes,No
11877,Burnaby,BC,1599000.0,4.0,2.0,0.15,Single Family,2138.0,Yes,Yes
3679,Burnaby,BC,2399900.0,5.0,3.0,0.18,Single Family,2415.0,Yes,No
3836,Burnaby,BC,2190000.0,5.0,4.0,0.36,Single Family,3584.0,Yes,Yes
3433,Burnaby,BC,4250000.0,2.0,2.0,0.24,Single Family,1950.0,Yes,Yes
11980,Burnaby,BC,3088000.0,5.0,3.0,0.1,Single Family,2982.0,Yes,No
3404,Burnaby,BC,2900000.0,8.0,4.0,0.14,Single Family,3100.0,Yes,Yes
13052,Burnaby,BC,3188000.0,6.0,5.0,0.16,Single Family,4003.0,Yes,Yes
13087,Burnaby,BC,1999000.0,5.0,2.0,0.15,Single Family,2079.0,Yes,Yes
