,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,price,property-beds,property-baths,property-sqft,Garage,Property Type,Square Footage
7409,"51 N SEA AVENUE, Burnaby, BC V5B 1K4",Burnaby,BC,V5B 1K4,49.2847328,-122.9798237,2188000.0,5.0,3.0,"2,515",,Single Family,"2,515 SQFT"
7383,"3 7501 CUMBERLAND STREET, Burnaby, BC V3N 4Y6",Burnaby,BC,V3N 4Y6,49.2322488,-122.9212089,1250000.0,3.0,3.0,"1,790",,Townhome,"1,790 SQFT"
7376,"1601 3833 EVERGREEN PLACE, Burnaby, BC V3J 0M2",Burnaby,BC,V3J 0M2,49.2496906,-122.8940859,978000.0,3.0,2.0,950,,Condo,950 SQFT
12098,"7815 ALLMAN STREET, Burnaby, BC V5E 2A9",Burnaby,BC,V5E 2A9,49.2350546,-122.950665,3999000.0,8.0,9.0,"6,399",,Single Family,"6,399 SQFT"
12104,"1003 6383 MCKAY AVENUE, Burnaby, BC V5H 0H8",Burnaby,BC,V5H 0H8,49.2263362,-123.0066066,668000.0,1.0,1.0,533,,Condo,533 SQFT
6685,"3204 6463 SILVER AVENUE, Burnaby, BC V5H 0K4",Burnaby,BC,V5H 0K4,49.2249375,-123.0070119,1799000.0,3.0,2.0,"1,264",,Condo,"1,264 SQFT"
6686,"8274 WEDGEWOOD STREET, Burnaby, BC V3N 1C4",Burnaby,BC,V3N 1C4,49.2319281,-122.9270398,1868000.0,3.0,1.0,"1,775",,Single Family,"1,775 SQFT"
4431,"5708 1955 ALPHA WAY, Burnaby, BC V5C 0K6",Burnaby,BC,V5C 0K6,49.2668115,-123.0007786,980000.0,2.0,2.0,904,,Condo,904 SQFT
11825,"1308 6638 DUNBLANE AVENUE, Burnaby, BC V5H 0G8",Burnaby,BC,V5H 0G8,49.2234189,-122.9921505,875000.0,2.0,2.0,866,,Condo,866 SQFT
4432,"3310 NOEL DRIVE, Burnaby, BC V3J 1J8",Burnaby,BC,V3J 1J8,49.254059,-122.904445,1188000.0,3.0,2.0,"1,335",,Townhome,"1,335 SQFT"
12123,"2206 2181 MADISON AVENUE, Burnaby, BC V5C 0N4",Burnaby,BC,V5C 0N4,49.2648732,-123.0094351,939900.0,2.0,2.0,850,,Condo,850 SQFT
12124,"6555 DENBIGH AVENUE, Burnaby, BC V5H 3R7",Burnaby,BC,V5H 3R7,49.2243379,-122.9844235,3990000.0,5.0,4.0,"2,736",,Single Family,"2,736 SQFT"
11932,"1809 6658 DOW AVENUE, Burnaby, BC V5H 0C7",Burnaby,BC,V5H 0C7,49.2234743,-123.0006669,958000.0,2.0,2.0,896,,Condo,896 SQFT
11925,"2708 6700 DUNBLANE AVENUE, Burnaby, BC V5H 0J3",Burnaby,BC,V5H 0J3,49.2227754,-122.9922157,999999.0,2.0,2.0,896,,Condo,896 SQFT
11921,"103 1955 WOODWAY PLACE, Burnaby, BC V5B 4S5",Burnaby,BC,V5B 4S5,49.266421,-122.990945,449900.0,1.0,1.0,764,,Condo,764 SQFT
11912,"3110 1955 ALPHA WAY, Burnaby, BC V5C 0K6",Burnaby,BC,V5C 0K6,49.2668115,-123.0007786,699000.0,1.0,1.0,558,,Condo,558 SQFT
4364,"104 2425 ALPHA AVENUE, Burnaby, BC V5C 0N6",Burnaby,BC,V5C 0N6,49.2625734,-123.0005502,1299000.0,2.0,4.0,"1,664",,Townhome,"1,664 SQFT"
12130,"5353 HASTINGS STREET, Burnaby, BC V5B 1P9",Burnaby,BC,V5B 1P9,49.2805858,-122.9853484,3888000.0,,0.0,"8,350",,MultiFamily,"8,350 SQFT"
11902,"1903 4433 ALASKA STREET, Burnaby, BC V5C 5T3",Burnaby,BC,V5C 5T3,49.2628157,-123.0040913,719000.0,1.0,1.0,625,,Condo,625 SQFT
11836,"204 6689 WILLINGDON AVENUE, Burnaby, BC V5H 3Y8",Burnaby,BC,V5H 3Y8,49.2228283,-123.0119434,504000.0,2.0,2.0,896,,Condo,896 SQFT
11898,"3607 6000 MCKAY AVENUE, Burnaby, BC V5H 0K2",Burnaby,BC,V5H 0K2,49.2290892,-123.0027106,1480000.0,3.0,2.0,"1,118",,Condo,"1,118 SQFT"
4441,"7088 HALIFAX STREET, Burnaby, BC V5A 1L8",Burnaby,BC,V5A 1L8,49.2677095,-122.9564857,2998888.0,6.0,5.0,"4,946",,Single Family,"4,946 SQFT"
12131,"207 6537 TELFORD AVENUE, Burnaby, BC V5H 0K9",Burnaby,BC,V5H 0K9,49.2245617,-123.0048299,899000.0,2.0,2.0,902,,Condo,902 SQFT
